id;title;price;promo_price;url;city
3092803;Конструктор LEGO DUPLO Town Грузовой поезд (10875);13789;12399;https://www.detmir.ru/product/index/id/3092803/;Москва
3187781;Конструктор LEGO Minecraft Шахта крипера 21155;8989;;https://www.detmir.ru/product/index/id/3187781/;Москва
3405527;Конструктор LEGO DUPLO My First Поезд для животных 10955;1909;1329;https://www.detmir.ru/product/index/id/3405527/;Москва
3244569;Конструктор LEGO Super Mario Приключения вместе с Марио 71360;5989;3979;https://www.detmir.ru/product/index/id/3244569/;Москва
3596786;Конструктор LEGO Friends Волшебная акробатика 41686;2029;1299;https://www.detmir.ru/product/index/id/3596786/;Москва
3226557;Конструктор LEGO DUPLO Classic Коробка с кубиками большая 10914;5389;3999;https://www.detmir.ru/product/index/id/3226557/;Москва
3244472;Конструктор LEGO DUPLO Грузовик и гусеничный экскаватор 10931;2109;1599;https://www.detmir.ru/product/index/id/3244472/;Москва
3430415;Конструктор LEGO Technic Jeep Wrangler 42122;5629;;https://www.detmir.ru/product/index/id/3430415/;Москва
3596758;Конструктор LEGO DUPLO My First Поезд с цифрами-учимся считать 10954;1789;1499;https://www.detmir.ru/product/index/id/3596758/;Москва
3405639;Конструктор LEGO Minecraft Дом-свинья 21170;5629;4699;https://www.detmir.ru/product/index/id/3405639/;Москва
3226567;Конструктор LEGO DUPLO Town Дом модульный 10929;5989;4999;https://www.detmir.ru/product/index/id/3226567/;Москва
3596844;Конструктор LEGO Technic Ford F-150 Raptor 42126;16789;10295;https://www.detmir.ru/product/index/id/3596844/;Москва
3200884;Конструктор LEGO Technic Land Rover Defender 42110;20389;16999;https://www.detmir.ru/product/index/id/3200884/;Москва
3596761;Конструктор LEGO DUPLO Town Самолет и аэропорт 10961;2989;2399;https://www.detmir.ru/product/index/id/3596761/;Москва
3405588;Конструктор LEGO City Great Vehicles Отпуск в доме на колесах 60283;1789;1499;https://www.detmir.ru/product/index/id/3405588/;Москва
3620624;Конструктор LEGO Friends Серферский дом на берегу 41693;7789;6699;https://www.detmir.ru/product/index/id/3620624/;Москва
3092801;Конструктор LEGO DUPLO Town Железнодорожный мост (10872);2629;1999;https://www.detmir.ru/product/index/id/3092801/;Москва
4058546;Конструктор LEGO Disney Princess 43201;2029;;https://www.detmir.ru/product/index/id/4058546/;Москва
3405535;Конструктор LEGO Classic Прозрачные кубики 11013;3109;1999;https://www.detmir.ru/product/index/id/3405535/;Москва
3405578;Конструктор LEGO My City Современный дом для семьи 60291;5389;4199;https://www.detmir.ru/product/index/id/3405578/;Москва
3596883;Конструктор LEGO City Парк каскадёров 60293;2989;2499;https://www.detmir.ru/product/index/id/3596883/;Москва
3475284;Конструктор LEGO City Торговая улица 60306;7189;5999;https://www.detmir.ru/product/index/id/3475284/;Москва
3596771;Конструктор LEGO Creator Средневековый замок 31120;10789;8999;https://www.detmir.ru/product/index/id/3596771/;Москва
3596973;Конструктор LEGO Ninjago Сверхзвуковой самолёт 71739;10189;7999;https://www.detmir.ru/product/index/id/3596973/;Москва
3405525;Конструктор LEGO DUPLO Classic Шкатулка-сердечко 10909;1909;;https://www.detmir.ru/product/index/id/3405525/;Москва
3018843;Конструктор LEGO BOOST  Набор для конструирования и программирования (17101);16789;;https://www.detmir.ru/product/index/id/3018843/;Москва
3596790;Конструктор LEGO Friends Киоск на Волшебной ярмарке 41687;3109;2169;https://www.detmir.ru/product/index/id/3596790/;Москва
3596889;Конструктор LEGO City Stunt 60299;1789;1499;https://www.detmir.ru/product/index/id/3596889/;Москва
3244547;Конструктор LEGO Minions Миньоны и дом 75551;5629;;https://www.detmir.ru/product/index/id/3244547/;Москва
3405548;Конструктор LEGO Friends Органическое кафе Хартлейк-Сити 41444;3109;2129;https://www.detmir.ru/product/index/id/3405548/;Москва
3405551;Конструктор LEGO Friends Торговый центр Хартлейк Сити 41450;11389;;https://www.detmir.ru/product/index/id/3405551/;Москва
3226556;Конструктор LEGO DUPLO Classic Коробка с кубиками 10913;3109;;https://www.detmir.ru/product/index/id/3226556/;Москва
3596974;Конструктор LEGO Ninjago Дар Судьбы Решающая битва 71749;4309;2999;https://www.detmir.ru/product/index/id/3596974/;Москва
3405584;Конструктор LEGO City Fire Команда пожарных 60282;5989;5389;https://www.detmir.ru/product/index/id/3405584/;Москва
3405533;Конструктор LEGO DUPLO Disney Праздничный поезд Микки и Минни 10941;3109;;https://www.detmir.ru/product/index/id/3405533/;Москва
3596759;Конструктор LEGO DUPLO Town Парк развлечений 10956;11989;9999;https://www.detmir.ru/product/index/id/3596759/;Москва
3405583;Конструктор LEGO City Fire Спасательный пожарный вертолёт 60281;2989;2499;https://www.detmir.ru/product/index/id/3405583/;Москва
3405550;Конструктор LEGO Friends Дом семьи Андреа 41449;7789;;https://www.detmir.ru/product/index/id/3405550/;Москва
3405530;Конструктор LEGO DUPLO Town Фермерский трактор и животные 10950;1909;1599;https://www.detmir.ru/product/index/id/3405530/;Москва
3596885;Конструктор LEGO City Арена для шоу каскадёров 60295;10789;9599;https://www.detmir.ru/product/index/id/3596885/;Москва
3405531;Конструктор LEGO DUPLO Town Конюшня для лошади и пони 10951;2989;2399;https://www.detmir.ru/product/index/id/3405531/;Москва
3596784;Конструктор LEGO Friends Гранд-отель Хартлейк Сити 41684;11389;;https://www.detmir.ru/product/index/id/3596784/;Москва
3405528;Конструктор LEGO DUPLO My First Пожарный вертолет и полицейский автомобиль 10957;949;699;https://www.detmir.ru/product/index/id/3405528/;Москва
3596920;Конструктор LEGO City Wildlife Спасательный внедорожник для зверей 60301;4549;3999;https://www.detmir.ru/product/index/id/3596920/;Москва
3405655;Конструктор LEGO Technic Ferrari 488 GTE 42125;20269;;https://www.detmir.ru/product/index/id/3405655/;Москва
3405626;Конструктор LEGO Ninjago Ниндзя-перехватчик Х-1 71737;5389;;https://www.detmir.ru/product/index/id/3405626/;Москва
3405579;Конструктор LEGO My City Центр города 60292;10789;8499;https://www.detmir.ru/product/index/id/3405579/;Москва
3193108;Конструктор LEGO Disney Frozen Волшебный ледяной замок Эльзы 43172;7789;;https://www.detmir.ru/product/index/id/3193108/;Москва
3596717;Конструктор LEGO DUPLO Disney Дом и кафе Минни 10942;5389;4299;https://www.detmir.ru/product/index/id/3596717/;Москва
3777764;Конструктор LEGO City Occasions Новогодний календарь 60303;2029;;https://www.detmir.ru/product/index/id/3777764/;Москва
3596785;Конструктор LEGO Friends Американские горки на Волшебной ярмарке 41685;10189;8799;https://www.detmir.ru/product/index/id/3596785/;Москва
3596925;Конструктор LEGO Super Mario Стартовый набор Приключения вместе с Луиджи 71387;5989;5299;https://www.detmir.ru/product/index/id/3596925/;Москва
3405532;Конструктор LEGO DUPLO Town Фермерский трактор сарай и животные 10952;7789;5999;https://www.detmir.ru/product/index/id/3405532/;Москва
3244473;Конструктор LEGO DUPLO Бульдозер 10930;889;649;https://www.detmir.ru/product/index/id/3244473/;Москва
3758560;Конструктор LEGO Star Wars Легкий имперский крейсер 75315;16189;;https://www.detmir.ru/product/index/id/3758560/;Москва
3405614;Конструктор LEGO Super Mario дополнительный набор загадочное испытание растения-пираньи 71382;3229;2099;https://www.detmir.ru/product/index/id/3405614/;Москва
3596713;Конструктор LEGO Mickey and Friends Магазин мороженого Минни 10773;1909;1599;https://www.detmir.ru/product/index/id/3596713/;Москва
3596714;Конструктор LEGO Mickey and Friends Космическая ракета Микки и Минни 10774;1909;1599;https://www.detmir.ru/product/index/id/3596714/;Москва
3405596;Конструктор LEGO Super Heroes Воздушное нападение Вечных 76145;1189;;https://www.detmir.ru/product/index/id/3405596/;Москва
4058545;Конструктор LEGO Disney Princess 43200;2029;;https://www.detmir.ru/product/index/id/4058545/;Москва
3405555;Конструктор LEGO Friends Ветеринарная клиника Хартлейк-Сити 41446;4309;;https://www.detmir.ru/product/index/id/3405555/;Москва
3596884;Конструктор LEGO Грузовик для шоу каскадёров 60294;6589;5799;https://www.detmir.ru/product/index/id/3596884/;Москва
3597030;Конструктор LEGO Super Heroes Корабль Стражей 76193;17749;;https://www.detmir.ru/product/index/id/3597030/;Москва
3200883;Конструктор LEGO Disney Frozen Олаф 41169;1299;649;https://www.detmir.ru/product/index/id/3200883/;Москва
3985290;Конструктор LEGO Super Heroes Бэтмобиль Тумблер 76240;26389;;https://www.detmir.ru/product/index/id/3985290/;Москва
3596716;Конструктор LEGO DUPLO Super Heroes Штаб-квартира Человека-паука 10940;3109;2499;https://www.detmir.ru/product/index/id/3596716/;Москва
3596876;Конструктор LEGO Technic Полноприводный грузовик-внедорожник Mercedes-Benz Zetros 42129;31189;;https://www.detmir.ru/product/index/id/3596876/;Москва
3244480;Конструктор LEGO DUPLO Башенный кран на стройке 10933;11989;;https://www.detmir.ru/product/index/id/3244480/;Москва
618981;Конструктор LEGO Classic Строительная пластина зеленого цвета (10700);829;599;https://www.detmir.ru/product/index/id/618981/;Москва
3620627;Конструктор LEGO City Wildlife Лагерь спасения дикой природы 60307;10789;8499;https://www.detmir.ru/product/index/id/3620627/;Москва
3597051;Конструктор LEGO Jurassic World Побег стигимолоха 76939;4429;3899;https://www.detmir.ru/product/index/id/3597051/;Москва
3596757;Конструктор LEGO DUPLO Town Гараж и автомойка 10948;10789;8499;https://www.detmir.ru/product/index/id/3596757/;Москва
